Airport,colYear,colMonth,avg(ArrDelay)
"Columbia Metropolitan",1999,2,2.0000
"Columbia Metropolitan",2001,1,2.0000
"Columbia Metropolitan",2005,3,15.0000
"Columbia Metropolitan",2008,2,90.0000
"Lovell ",1992,6,7.0000
"Lovell ",2006,5,3.0000
Charlottesville-Albermarle,1987,10,-3.0000
Charlottesville-Albermarle,2006,1,5.0000
"Charleston AFB/International",1989,9,17.0000
"Charleston AFB/International",1996,8,79.0000
"Charleston AFB/International",2007,4,16.0000
"Charleston AFB/International",2008,5,3.0000
"Charleston AFB/International",2008,9,-7.0000
"Eastern Iowa ",1989,11,-5.0000
"Eastern Iowa ",1991,9,2.0000
"Eastern Iowa ",2000,8,29.0000
"Eastern Iowa ",2007,2,37.0000
"Eastern Iowa ",2007,7,-2.0000
"Cleveland-Hopkins Intl",1988,9,0.5000
"Cleveland-Hopkins Intl",1989,5,10.0000
"Cleveland-Hopkins Intl",1989,7,-24.0000
"Cleveland-Hopkins Intl",1989,8,-6.0000
"Cleveland-Hopkins Intl",1990,1,8.0000
"Cleveland-Hopkins Intl",1990,3,2.0000
"Cleveland-Hopkins Intl",1990,4,-18.5000
"Cleveland-Hopkins Intl",1990,8,-3.5000
"Cleveland-Hopkins Intl",1990,12,19.0000
"Cleveland-Hopkins Intl",1991,4,-19.0000
"Cleveland-Hopkins Intl",1991,6,1.5000
"Cleveland-Hopkins Intl",1992,9,-13.0000
"Cleveland-Hopkins Intl",1993,8,-10.0000
"Cleveland-Hopkins Intl",1994,8,2.0000
"Cleveland-Hopkins Intl",1995,5,11.3333
"Cleveland-Hopkins Intl",1995,10,7.0000
"Cleveland-Hopkins Intl",1995,12,16.0000
"Cleveland-Hopkins Intl",1996,2,17.0000
"Cleveland-Hopkins Intl",1996,4,-5.0000
"Cleveland-Hopkins Intl",1997,1,-1.0000
"Cleveland-Hopkins Intl",1997,2,7.0000
"Cleveland-Hopkins Intl",1997,3,0.0000
"Cleveland-Hopkins Intl",1997,4,-7.0000
"Cleveland-Hopkins Intl",1997,8,110.0000
"Cleveland-Hopkins Intl",1997,9,-9.0000
"Cleveland-Hopkins Intl",1998,2,12.0000
"Cleveland-Hopkins Intl",1998,3,2.0000
"Cleveland-Hopkins Intl",1998,11,124.0000
"Cleveland-Hopkins Intl",1999,1,-5.0000
"Cleveland-Hopkins Intl",1999,9,-2.0000
"Cleveland-Hopkins Intl",2000,4,-5.0000
"Cleveland-Hopkins Intl",2000,6,-2.0000
"Cleveland-Hopkins Intl",2000,10,8.0000
"Cleveland-Hopkins Intl",2002,4,6.0000
"Cleveland-Hopkins Intl",2002,5,-6.0000
"Cleveland-Hopkins Intl",2002,8,-4.0000
"Cleveland-Hopkins Intl",2003,4,3.0000
"Cleveland-Hopkins Intl",2003,5,-8.0000
"Cleveland-Hopkins Intl",2003,8,-16.0000
"Cleveland-Hopkins Intl",2003,12,23.0000
"Cleveland-Hopkins Intl",2004,1,8.0000
"Cleveland-Hopkins Intl",2004,7,-5.0000
"Cleveland-Hopkins Intl",2004,8,-4.5000
"Cleveland-Hopkins Intl",2004,9,-20.0000
"Cleveland-Hopkins Intl",2005,3,17.0000
"Cleveland-Hopkins Intl",2006,1,-15.0000
"Cleveland-Hopkins Intl",2006,7,-13.0000
"Cleveland-Hopkins Intl",2006,8,19.0000
"Cleveland-Hopkins Intl",2007,1,-16.0000
"Cleveland-Hopkins Intl",2007,4,49.0000
"Cleveland-Hopkins Intl",2007,9,-3.0000
"Cleveland-Hopkins Intl",2008,4,-15.0000
"Cleveland-Hopkins Intl",2008,6,-3.0000
"Easterwood ",2006,1,-16.0000
"Charlotte/Douglas International",1987,11,36.0000
"Charlotte/Douglas International",1988,1,-13.0000
"Charlotte/Douglas International",1988,3,-4.0000
"Charlotte/Douglas International",1988,4,-12.0000
"Charlotte/Douglas International",1988,5,13.0000
"Charlotte/Douglas International",1988,6,13.0000
"Charlotte/Douglas International",1988,7,-7.0000
"Charlotte/Douglas International",1988,8,1.0000
"Charlotte/Douglas International",1989,1,5.0000
"Charlotte/Douglas International",1989,3,-2.0000
"Charlotte/Douglas International",1989,4,-9.0000
"Charlotte/Douglas International",1990,2,18.0000
"Charlotte/Douglas International",1990,6,16.0000
"Charlotte/Douglas International",1990,7,-8.0000
"Charlotte/Douglas International",1990,8,-1.0000
"Charlotte/Douglas International",1990,11,-14.0000
"Charlotte/Douglas International",1991,5,0.0000
"Charlotte/Douglas International",1991,8,39.0000
"Charlotte/Douglas International",1991,9,9.0000
"Charlotte/Douglas International",1991,11,-16.0000
"Charlotte/Douglas International",1991,12,5.0000
"Charlotte/Douglas International",1992,3,-1.0000
"Charlotte/Douglas International",1992,4,-3.0000
"Charlotte/Douglas International",1992,5,1.0000
"Charlotte/Douglas International",1992,7,-1.0000
"Charlotte/Douglas International",1992,9,2.0000
"Charlotte/Douglas International",1992,10,-7.0000
"Charlotte/Douglas International",1992,11,10.0000
"Charlotte/Douglas International",1993,1,1.0000
"Charlotte/Douglas International",1993,2,10.0000
"Charlotte/Douglas International",1993,3,29.0000
"Charlotte/Douglas International",1993,6,28.0000
"Charlotte/Douglas International",1993,8,23.0000
"Charlotte/Douglas International",1993,9,13.0000
"Charlotte/Douglas International",1993,10,49.0000
"Charlotte/Douglas International",1993,11,3.0000
"Charlotte/Douglas International",1994,6,4.5000
"Charlotte/Douglas International",1994,7,58.0000
"Charlotte/Douglas International",1994,10,14.0000
"Charlotte/Douglas International",1995,4,3.5000
"Charlotte/Douglas International",1995,10,21.0000
"Charlotte/Douglas International",1995,11,18.0000
"Charlotte/Douglas International",1995,12,24.0000
"Charlotte/Douglas International",1996,3,24.0000
"Charlotte/Douglas International",1996,4,4.0000
"Charlotte/Douglas International",1996,5,49.5000
"Charlotte/Douglas International",1996,7,16.5000
"Charlotte/Douglas International",1997,9,-7.5000
"Charlotte/Douglas International",1997,10,0.0000
"Charlotte/Douglas International",1998,1,28.0000
"Charlotte/Douglas International",1998,3,-3.0000
"Charlotte/Douglas International",1998,5,-2.0000
"Charlotte/Douglas International",1998,12,16.0000
"Charlotte/Douglas International",1999,7,58.0000
"Charlotte/Douglas International",2000,6,-3.0000
"Charlotte/Douglas International",2000,12,-1.0000
"Charlotte/Douglas International",2001,6,220.0000
"Charlotte/Douglas International",2002,3,37.0000
"Charlotte/Douglas International",2002,10,-17.0000
"Charlotte/Douglas International",2002,12,17.0000
"Charlotte/Douglas International",2003,1,5.0000
"Charlotte/Douglas International",2003,4,2.0000
"Charlotte/Douglas International",2003,5,14.0000
"Charlotte/Douglas International",2003,6,-4.0000
"Charlotte/Douglas International",2003,10,-6.0000
"Charlotte/Douglas International",2004,1,-3.0000
"Charlotte/Douglas International",2004,3,-5.0000
"Charlotte/Douglas International",2004,4,-8.0000
"Charlotte/Douglas International",2004,5,-15.0000
"Charlotte/Douglas International",2004,6,-23.0000
"Charlotte/Douglas International",2004,7,6.0000
"Charlotte/Douglas International",2004,9,-9.5000
"Charlotte/Douglas International",2004,11,-2.0000
"Charlotte/Douglas International",2005,2,-18.0000
"Charlotte/Douglas International",2005,4,-9.0000
"Charlotte/Douglas International",2005,12,32.0000
"Charlotte/Douglas International",2006,3,14.0000
"Charlotte/Douglas International",2006,4,-8.0000
"Charlotte/Douglas International",2006,12,-16.0000
"Charlotte/Douglas International",2007,2,-6.0000
"Charlotte/Douglas International",2007,5,2.0000
"Charlotte/Douglas International",2007,6,-7.0000
"Charlotte/Douglas International",2008,3,0.0000
"Charlotte/Douglas International",2008,6,116.0000
"Charlotte/Douglas International",2008,10,-8.0000
"Charlotte/Douglas International",2008,12,-23.0000
"Port Columbus Intl",1988,1,1.0000
"Port Columbus Intl",1988,11,21.0000
"Port Columbus Intl",1991,7,-5.0000
"Port Columbus Intl",1992,3,-8.0000
"Port Columbus Intl",1992,9,7.0000
"Port Columbus Intl",1993,1,2.0000
"Port Columbus Intl",1993,6,5.0000
"Port Columbus Intl",1993,12,14.0000
"Port Columbus Intl",1994,3,3.0000
"Port Columbus Intl",1994,8,113.0000
"Port Columbus Intl",1995,1,13.0000
"Port Columbus Intl",1997,3,-11.0000
"Port Columbus Intl",1997,12,-2.0000
"Port Columbus Intl",1998,5,16.0000
"Port Columbus Intl",2001,10,-15.0000
"Port Columbus Intl",2002,3,45.0000
"Port Columbus Intl",2003,1,1.0000
"Port Columbus Intl",2003,3,-35.0000
"Port Columbus Intl",2004,1,-30.0000
"Port Columbus Intl",2004,3,137.0000
"Port Columbus Intl",2004,5,47.0000
"Port Columbus Intl",2004,12,9.5000
"Port Columbus Intl",2006,12,-2.0000
"Port Columbus Intl",2008,2,15.0000
"Port Columbus Intl",2008,4,2.0000
"Port Columbus Intl",2008,7,15.0000
"University of Illinois-Willard",1992,4,13.0000
"University of Illinois-Willard",2006,2,-15.0000
"City of Colorado Springs Muni",1988,11,9.0000
"City of Colorado Springs Muni",1989,6,88.0000
"City of Colorado Springs Muni",1990,5,32.0000
"City of Colorado Springs Muni",1991,7,2.0000
"City of Colorado Springs Muni",1992,11,-14.0000
"City of Colorado Springs Muni",1995,4,-7.0000
"City of Colorado Springs Muni",1996,9,46.0000
"City of Colorado Springs Muni",1998,3,-10.0000
"City of Colorado Springs Muni",1999,7,119.0000
"City of Colorado Springs Muni",2006,9,-15.0000
"City of Colorado Springs Muni",2008,2,-18.0000
"City of Colorado Springs Muni",2008,3,13.0000
"Corpus Christi International",1990,9,-3.0000
"Corpus Christi International",1992,1,0.0000
"Corpus Christi International",2002,11,-8.0000
"Corpus Christi International",2003,10,-18.0000
"Corpus Christi International",2005,9,-8.0000
"Corpus Christi International",2005,12,-4.0000
Yeager,1989,8,2.0000
Yeager,1990,2,-6.0000
Yeager,1995,11,-2.0000
Yeager,2006,12,62.0000
"Columbus Metropolitan",2005,4,18.0000
"Cincinnati Northern Kentucky Intl",1987,10,3.0000
"Cincinnati Northern Kentucky Intl",1988,1,12.5000
"Cincinnati Northern Kentucky Intl",1988,10,1.0000
"Cincinnati Northern Kentucky Intl",1989,5,-2.0000
"Cincinnati Northern Kentucky Intl",1989,9,-8.0000
"Cincinnati Northern Kentucky Intl",1990,12,24.0000
"Cincinnati Northern Kentucky Intl",1992,3,20.0000
"Cincinnati Northern Kentucky Intl",1992,6,12.0000
"Cincinnati Northern Kentucky Intl",1992,7,13.0000
"Cincinnati Northern Kentucky Intl",1992,9,6.0000
"Cincinnati Northern Kentucky Intl",1992,10,-3.0000
"Cincinnati Northern Kentucky Intl",1993,8,-3.0000
"Cincinnati Northern Kentucky Intl",1993,9,9.0000
"Cincinnati Northern Kentucky Intl",1993,12,0.0000
"Cincinnati Northern Kentucky Intl",1994,4,24.0000
"Cincinnati Northern Kentucky Intl",1995,5,16.0000
"Cincinnati Northern Kentucky Intl",1995,6,31.0000
"Cincinnati Northern Kentucky Intl",1996,7,137.0000
"Cincinnati Northern Kentucky Intl",1996,9,-7.0000
"Cincinnati Northern Kentucky Intl",1996,10,2.0000
"Cincinnati Northern Kentucky Intl",1996,11,1.0000
"Cincinnati Northern Kentucky Intl",1996,12,18.0000
"Cincinnati Northern Kentucky Intl",1997,2,5.0000
"Cincinnati Northern Kentucky Intl",1997,11,-5.0000
"Cincinnati Northern Kentucky Intl",1997,12,2.0000
"Cincinnati Northern Kentucky Intl",1998,4,-19.0000
"Cincinnati Northern Kentucky Intl",1998,7,6.0000
"Cincinnati Northern Kentucky Intl",1999,3,6.0000
"Cincinnati Northern Kentucky Intl",1999,6,40.0000
"Cincinnati Northern Kentucky Intl",1999,10,65.0000
"Cincinnati Northern Kentucky Intl",1999,12,-3.0000
"Cincinnati Northern Kentucky Intl",2000,2,-1.0000
"Cincinnati Northern Kentucky Intl",2000,4,18.0000
"Cincinnati Northern Kentucky Intl",2000,5,-21.0000
"Cincinnati Northern Kentucky Intl",2000,8,-8.0000
"Cincinnati Northern Kentucky Intl",2000,11,-7.0000
"Cincinnati Northern Kentucky Intl",2001,1,9.0000
"Cincinnati Northern Kentucky Intl",2001,11,1.0000
"Cincinnati Northern Kentucky Intl",2001,12,-11.0000
"Cincinnati Northern Kentucky Intl",2002,3,9.0000
"Cincinnati Northern Kentucky Intl",2002,8,-5.0000
"Cincinnati Northern Kentucky Intl",2002,12,-19.0000
"Cincinnati Northern Kentucky Intl",2003,5,-11.0000
"Cincinnati Northern Kentucky Intl",2003,8,-13.0000
"Cincinnati Northern Kentucky Intl",2004,2,75.0000
"Cincinnati Northern Kentucky Intl",2004,3,-4.0000
"Cincinnati Northern Kentucky Intl",2004,4,-1.0000
"Cincinnati Northern Kentucky Intl",2004,6,3.0000
"Cincinnati Northern Kentucky Intl",2004,7,-6.0000
"Cincinnati Northern Kentucky Intl",2004,8,12.0000
"Cincinnati Northern Kentucky Intl",2004,9,-5.0000
"Cincinnati Northern Kentucky Intl",2004,10,10.0000
"Cincinnati Northern Kentucky Intl",2004,12,2.0000
"Cincinnati Northern Kentucky Intl",2005,1,-0.5000
"Cincinnati Northern Kentucky Intl",2005,2,-4.5000
"Cincinnati Northern Kentucky Intl",2005,4,-14.0000
"Cincinnati Northern Kentucky Intl",2005,5,-8.0000
"Cincinnati Northern Kentucky Intl",2005,6,6.0000
"Cincinnati Northern Kentucky Intl",2005,7,5.0000
"Cincinnati Northern Kentucky Intl",2005,8,-1.0000
"Cincinnati Northern Kentucky Intl",2006,5,-20.0000
"Cincinnati Northern Kentucky Intl",2006,6,-7.0000
"Cincinnati Northern Kentucky Intl",2006,10,21.0000
"Cincinnati Northern Kentucky Intl",2006,11,1.0000
"Cincinnati Northern Kentucky Intl",2007,2,67.0000
"Cincinnati Northern Kentucky Intl",2007,5,-16.0000
"Cincinnati Northern Kentucky Intl",2007,7,38.0000
"Cincinnati Northern Kentucky Intl",2007,10,-30.0000
"Cincinnati Northern Kentucky Intl",2007,12,19.0000
"Cincinnati Northern Kentucky Intl",2008,2,-7.0000
"Cincinnati Northern Kentucky Intl",2008,6,8.0000
"Cincinnati Northern Kentucky Intl",2008,7,14.0000
"Cincinnati Northern Kentucky Intl",2008,8,-20.0000
"Daytona Beach International",2005,9,24.0000
"Dallas Love ",1988,2,8.0000
"Dallas Love ",1988,6,-1.0000
"Dallas Love ",1988,8,12.0000
"Dallas Love ",1989,3,-3.0000
"Dallas Love ",1989,6,2.0000
"Dallas Love ",1989,9,8.0000
"Dallas Love ",1990,3,2.0000
"Dallas Love ",1990,8,-5.0000
"Dallas Love ",1990,9,8.0000
"Dallas Love ",1991,2,3.0000
"Dallas Love ",1991,3,-2.0000
"Dallas Love ",1991,4,7.0000
"Dallas Love ",1991,7,7.0000
"Dallas Love ",1992,3,13.0000
"Dallas Love ",1992,11,-9.0000
"Dallas Love ",1994,2,13.0000
"Dallas Love ",1994,7,14.0000
"Dallas Love ",1995,1,1.0000
"Dallas Love ",1995,5,30.0000
"Dallas Love ",1995,6,3.5000
"Dallas Love ",1995,9,-5.0000
"Dallas Love ",1997,5,-3.0000
"Dallas Love ",1997,12,-5.0000
"Dallas Love ",1998,5,-7.0000
"Dallas Love ",1998,10,13.0000
"Dallas Love ",1998,12,-3.0000
"Dallas Love ",1999,5,5.0000
"Dallas Love ",1999,8,52.0000
"Dallas Love ",1999,12,2.0000
"Dallas Love ",2000,4,8.0000
"Dallas Love ",2002,9,-5.0000
"Dallas Love ",2003,5,35.0000
"Dallas Love ",2003,10,0.0000
"Dallas Love ",2003,11,-1.0000
"Dallas Love ",2004,4,8.0000
"Dallas Love ",2004,7,4.0000
"Dallas Love ",2004,9,13.0000
"Dallas Love ",2006,6,36.0000
"Dallas Love ",2006,9,-2.0000
"Dallas Love ",2008,5,49.0000
"Dallas Love ",2008,9,-2.0000
"James M Cox Dayton Intl",1988,1,265.0000
"James M Cox Dayton Intl",1988,2,16.0000
"James M Cox Dayton Intl",1988,8,-4.0000
"James M Cox Dayton Intl",1988,10,17.0000
"James M Cox Dayton Intl",1990,3,-8.0000
"James M Cox Dayton Intl",1990,4,-12.0000
"James M Cox Dayton Intl",1990,9,0.0000
"James M Cox Dayton Intl",1991,4,-4.0000
"James M Cox Dayton Intl",1994,8,16.0000
"James M Cox Dayton Intl",2003,9,-8.0000
"Ronald Reagan Washington National",1987,10,19.0000
"Ronald Reagan Washington National",1988,3,17.0000
"Ronald Reagan Washington National",1988,4,2.0000
"Ronald Reagan Washington National",1988,7,1.0000
"Ronald Reagan Washington National",1989,1,-8.0000
"Ronald Reagan Washington National",1989,3,1.0000
"Ronald Reagan Washington National",1989,10,24.0000
"Ronald Reagan Washington National",1989,12,20.0000
"Ronald Reagan Washington National",1990,1,0.0000
"Ronald Reagan Washington National",1990,7,-11.0000
"Ronald Reagan Washington National",1991,3,-1.0000
"Ronald Reagan Washington National",1991,4,-3.0000
"Ronald Reagan Washington National",1991,7,1.5000
"Ronald Reagan Washington National",1991,9,-1.0000
"Ronald Reagan Washington National",1991,11,5.0000
"Ronald Reagan Washington National",1991,12,0.0000
"Ronald Reagan Washington National",1992,2,-7.0000
"Ronald Reagan Washington National",1992,7,-5.0000
"Ronald Reagan Washington National",1992,8,-3.0000
"Ronald Reagan Washington National",1993,2,7.0000
"Ronald Reagan Washington National",1993,3,16.0000
"Ronald Reagan Washington National",1994,2,-8.0000
"Ronald Reagan Washington National",1994,4,-10.0000
"Ronald Reagan Washington National",1994,9,-7.5000
"Ronald Reagan Washington National",1994,12,-7.0000
"Ronald Reagan Washington National",1995,6,3.0000
"Ronald Reagan Washington National",1995,8,-9.0000
"Ronald Reagan Washington National",1995,9,-2.0000
"Ronald Reagan Washington National",1995,10,13.0000
"Ronald Reagan Washington National",1996,1,-2.0000
"Ronald Reagan Washington National",1996,2,4.0000
"Ronald Reagan Washington National",1996,3,-3.0000
"Ronald Reagan Washington National",1996,4,-12.0000
"Ronald Reagan Washington National",1996,10,20.0000
"Ronald Reagan Washington National",1998,1,4.0000
"Ronald Reagan Washington National",1998,4,22.0000
"Ronald Reagan Washington National",1998,7,-14.0000
"Ronald Reagan Washington National",1998,8,-4.0000
"Ronald Reagan Washington National",1999,10,10.0000
"Ronald Reagan Washington National",2000,7,57.0000
"Ronald Reagan Washington National",2000,10,10.0000
"Ronald Reagan Washington National",2002,4,2.0000
"Ronald Reagan Washington National",2002,12,2.0000
"Ronald Reagan Washington National",2003,7,-11.0000
"Ronald Reagan Washington National",2003,12,-1.0000
"Ronald Reagan Washington National",2004,5,-12.0000
"Ronald Reagan Washington National",2004,11,10.0000
"Ronald Reagan Washington National",2005,3,-6.0000
"Ronald Reagan Washington National",2005,6,0.0000
"Ronald Reagan Washington National",2006,4,-16.0000
"Ronald Reagan Washington National",2007,5,0.0000
"Ronald Reagan Washington National",2007,8,37.0000
"Ronald Reagan Washington National",2007,10,3.0000
"Ronald Reagan Washington National",2007,11,-6.3333
"Ronald Reagan Washington National",2008,1,-14.0000
"Ronald Reagan Washington National",2008,6,107.0000
"Ronald Reagan Washington National",2008,8,-11.0000
"Ronald Reagan Washington National",2008,9,27.5000
"Denver Intl",1987,10,-1.5000
"Denver Intl",1987,11,4.0000
"Denver Intl",1987,12,-1.0000
"Denver Intl",1988,6,6.0000
"Denver Intl",1988,7,-12.0000
"Denver Intl",1989,2,-7.5000
"Denver Intl",1989,4,11.0000
"Denver Intl",1989,5,-7.5000
"Denver Intl",1989,9,-4.0000
"Denver Intl",1990,1,-8.0000
"Denver Intl",1990,3,37.0000
"Denver Intl",1990,10,-10.0000
"Denver Intl",1991,2,-10.0000
"Denver Intl",1991,3,100.0000
"Denver Intl",1991,12,11.6667
"Denver Intl",1992,4,5.0000
"Denver Intl",1992,7,13.0000
"Denver Intl",1992,8,74.0000
"Denver Intl",1992,9,-4.0000
"Denver Intl",1992,10,8.0000
"Denver Intl",1992,12,4.5000
"Denver Intl",1993,3,-12.0000
"Denver Intl",1993,5,26.0000
"Denver Intl",1993,6,-22.0000
"Denver Intl",1993,7,-1.0000
"Denver Intl",1993,11,-2.0000
"Denver Intl",1994,3,3.0000
"Denver Intl",1994,4,5.0000
"Denver Intl",1994,5,2.0000
"Denver Intl",1994,7,7.0000
